ensembl_gene_id	gene_biotype	gene	percentage_gene_gc_content	total_counts	n_cells_by_counts
ENSG00000109107	protein_coding	ALDOC	55.56	227	124
ENSG00000109133	protein_coding	TMEM33	35.28	236	189
ENSG00000109158	protein_coding	GABRA4	35.03	367	232
ENSG00000109180	protein_coding	OCIAD1	39.5	1156	554
ENSG00000109184	protein_coding	DCUN1D4	40.07	137	117
ENSG00000109189	protein_coding	USP46	41.36	191	119
ENSG00000109270	protein_coding	LAMTOR3	34.87	328	248
ENSG00000109332	protein_coding	UBE2D3	38.48	765	468
ENSG00000109339	protein_coding	MAPK10	37.37	753	384
ENSG00000109390	protein_coding	NDUFC1	42.39	2585	661
ENSG00000109436	protein_coding	TBC1D9	41.17	248	205
ENSG00000109466	protein_coding	KLHL2	38.17	221	156
ENSG00000109472	protein_coding	CPE	38.22	1048	485
ENSG00000109519	protein_coding	GRPEL1	47.45	416	293
ENSG00000109572	protein_coding	CLCN3	37.1	572	364
ENSG00000109654	protein_coding	TRIM2	42.05	820	438
ENSG00000109670	protein_coding	FBXW7	35.41	370	263
ENSG00000109738	protein_coding	GLRB	35.18	340	249
ENSG00000109775	protein_coding	UFSP2	38.42	224	189
ENSG00000109814	protein_coding	UGDH	41.86	138	106
ENSG00000109819	protein_coding	PPARGC1A	38.32	84	56
ENSG00000109846	protein_coding	CRYAB	46.12	4557	576
ENSG00000109861	protein_coding	CTSC	38.58	106	63
ENSG00000109881	protein_coding	CCDC34	37.32	254	198
ENSG00000109956	protein_coding	B3GAT1	55.94	364	259
ENSG00000109971	protein_coding	HSPA8	49.25	3122	721
ENSG00000110025	protein_coding	SNX15	51.28	249	184
ENSG00000110057	protein_coding	UNC93B1	58.6	156	66
ENSG00000110076	protein_coding	NRXN2	54.53	1397	571
ENSG00000110107	protein_coding	PRPF19	46.54	416	306
ENSG00000110171	protein_coding	TRIM3	48.68	196	154
ENSG00000110321	protein_coding	EIF4G2	41.39	895	492
ENSG00000110344	protein_coding	UBE4A	40.54	166	145
ENSG00000110367	protein_coding	DDX6	41.56	236	181
ENSG00000110395	protein_coding	CBL	42.2	214	148
ENSG00000110436	protein_coding	SLC1A2	42.2	347	239
ENSG00000110442	protein_coding	COMMD9	42.17	271	211
ENSG00000110514	protein_coding	MADD	47.1	350	269
ENSG00000110651	protein_coding	CD81	63.44	3784	760
ENSG00000110696	protein_coding	C11orf58	38.18	783	436
ENSG00000110700	protein_coding	RPS13	46.06	2558	683
ENSG00000110711	protein_coding	AIP	56.24	462	282
ENSG00000110717	protein_coding	NDUFS8	57.63	506	332
ENSG00000110721	protein_coding	CHKA	44.1	266	220
ENSG00000110786	protein_coding	PTPN5	50.02	204	150
ENSG00000110801	protein_coding	PSMD9	47.48	172	144
ENSG00000110871	protein_coding	COQ5	45.87	262	219
ENSG00000110876	protein_coding	SELPLG	52.08	371	78
ENSG00000110880	protein_coding	CORO1C	41.35	234	188
ENSG00000110917	protein_coding	MLEC	47.26	270	217
ENSG00000110931	protein_coding	CAMKK2	50.83	551	356
ENSG00000110955	protein_coding	ATP5F1B	45.22	2136	674
ENSG00000110987	protein_coding	BCL7A	52.98	225	187
ENSG00000111052	protein_coding	LIN7A	36.73	299	194
ENSG00000111110	protein_coding	PPM1H	42.69	155	117
ENSG00000111142	protein_coding	METAP2	39.23	404	285
ENSG00000111196	protein_coding	MAGOHB	36.39	17	15
ENSG00000111203	protein_coding	ITFG2	50.2	152	103
ENSG00000111224	protein_coding	PARP11	39.15	78	45
ENSG00000111229	protein_coding	ARPC3	45.85	676	413
ENSG00000111237	protein_coding	VPS29	40.66	955	482
ENSG00000111249	protein_coding	CUX2	49.27	103	86
ENSG00000111252	protein_coding	SH2B3	54.02	44	19
ENSG00000111262	protein_coding	KCNA1	47.17	449	295
ENSG00000111371	protein_coding	SLC38A1	39.96	628	359
ENSG00000111481	protein_coding	COPZ1	46.59	245	200
ENSG00000111490	protein_coding	TBC1D30	41.44	180	149
ENSG00000111530	protein_coding	CAND1	36.87	185	148
ENSG00000111639	protein_coding	MRPL51	48.72	502	335
ENSG00000111642	protein_coding	CHD4	49.02	320	259
ENSG00000111647	protein_coding	UHRF1BP1L	38.58	180	135
ENSG00000111652	protein_coding	COPS7A	50.43	437	305
ENSG00000111653	protein_coding	ING4	47.76	159	125
ENSG00000111666	protein_coding	CHPT1	38.42	52	48
ENSG00000111667	protein_coding	USP5	52.77	274	219
ENSG00000111669	protein_coding	TPI1	59.16	1551	561
ENSG00000111674	protein_coding	ENO2	55.33	791	402
ENSG00000111676	protein_coding	ATN1	55.53	211	177
ENSG00000111678	protein_coding	C12orf57	52.58	449	310
ENSG00000111696	protein_coding	NT5DC3	43.11	476	309
ENSG00000111707	protein_coding	SUDS3	44.37	355	246
ENSG00000111716	protein_coding	LDHB	38.01	1666	601
ENSG00000111726	protein_coding	CMAS	37.39	520	343
ENSG00000111737	protein_coding	RAB35	55.76	95	82
ENSG00000111775	protein_coding	COX6A1	48.26	3732	767
ENSG00000111832	protein_coding	RWDD1	36.37	324	253
ENSG00000111843	protein_coding	TMEM14C	47.49	211	182
ENSG00000111897	protein_coding	SERINC1	35.93	2120	675
ENSG00000111912	protein_coding	NCOA7	39.05	480	267
ENSG00000111962	protein_coding	UST	41.41	94	60
ENSG00000112078	protein_coding	KCTD20	42.39	128	105
ENSG00000112081	protein_coding	SRSF3	40.22	487	328
ENSG00000112110	protein_coding	MRPL18	43.85	1078	496
ENSG00000112137	protein_coding	PHACTR1	41.2	584	393
ENSG00000112146	protein_coding	FBXO9	39.22	712	385
ENSG00000112159	protein_coding	MDN1	41.54	58	33
ENSG00000112167	protein_coding	SAYSD1	41.95	112	85
ENSG00000112200	protein_coding	ZNF451	36.73	165	142
ENSG00000112290	protein_coding	WASF1	36.65	209	181
ENSG00000112304	protein_coding	ACOT13	41.43	756	438
ENSG00000112305	protein_coding	SMAP1	37.73	197	161
ENSG00000112306	protein_coding	RPS12	42.19	1428	567
ENSG00000112308	protein_coding	C6orf62	39.06	318	255
ENSG00000112320	protein_coding	SOBP	41.61	390	271
ENSG00000112335	protein_coding	SNX3	41.15	1216	584
ENSG00000112357	protein_coding	PEX7	38.37	32	27
ENSG00000112473	protein_coding	SLC39A7	52.92	230	189
ENSG00000112531	protein_coding	QKI	36.39	1254	368
ENSG00000112541	protein_coding	PDE10A	40.96	588	336
ENSG00000112640	protein_coding	PPP2R5D	49.86	104	95
ENSG00000112651	protein_coding	MRPL2	49.19	238	187
ENSG00000112695	protein_coding	COX7A2	40.34	3788	723
ENSG00000112697	protein_coding	TMEM30A	37.36	520	374
ENSG00000112701	protein_coding	SENP6	37.44	312	244
ENSG00000112739	protein_coding	PRPF4B	38.36	211	173
ENSG00000112796	protein_coding	ENPP5	38.41	525	349
ENSG00000112799	protein_coding	LY86	44.39	119	56
ENSG00000112902	protein_coding	SEMA5A	40.18	317	223
ENSG00000112972	protein_coding	HMGCS1	38.76	817	312
ENSG00000112983	protein_coding	BRD8	43.02	215	183
ENSG00000113013	protein_coding	HSPA9	42.45	279	218
ENSG00000113068	protein_coding	PFDN1	40.78	1023	500
ENSG00000113140	protein_coding	SPARC	47.82	632	111
ENSG00000113141	protein_coding	IK	45.21	226	195
ENSG00000113240	protein_coding	CLK4	39.49	195	166
ENSG00000113312	protein_coding	TTC1	41.36	306	238
ENSG00000113319	protein_coding	RASGRF2	40.98	701	386
ENSG00000113327	protein_coding	GABRG2	35.18	211	169
ENSG00000113360	protein_coding	DROSHA	39.75	122	100
ENSG00000113384	protein_coding	GOLPH3	41.09	113	82
ENSG00000113387	protein_coding	SUB1	42.87	3733	743
ENSG00000113460	protein_coding	BRIX1	37.61	86	50
ENSG00000113558	protein_coding	SKP1	41.26	400	283
ENSG00000113575	protein_coding	PPP2CA	40.3	600	378
ENSG00000113580	protein_coding	NR3C1	37.82	225	165
ENSG00000113583	protein_coding	C5orf15	39.76	302	225
ENSG00000113621	protein_coding	TXNDC15	46.17	451	298
ENSG00000113638	protein_coding	TTC33	38.63	251	199
ENSG00000113648	protein_coding	H2AFY	47.07	442	303
ENSG00000113657	protein_coding	DPYSL3	41.44	66	52
ENSG00000113658	protein_coding	SMAD5	37.17	103	66
ENSG00000113712	protein_coding	CSNK1A1	39.26	663	445
ENSG00000113719	protein_coding	ERGIC1	50.92	268	216
ENSG00000113732	protein_coding	ATP6V0E1	44.08	230	189
ENSG00000113966	protein_coding	ARL6	34.36	119	92
ENSG00000114023	protein_coding	FAM162A	38.78	330	249
ENSG00000114030	protein_coding	KPNA1	38.26	189	167
ENSG00000114062	protein_coding	UBE3A	36.2	2395	665
ENSG00000114098	protein_coding	ARMC8	39.28	179	156
ENSG00000114125	protein_coding	RNF7	39.14	1402	547
ENSG00000114126	protein_coding	TFDP2	39.89	19	16
ENSG00000114209	protein_coding	PDCD10	35.73	219	185
ENSG00000114279	protein_coding	FGF12	37.5	238	159
ENSG00000114353	protein_coding	GNAI2	57.36	391	288
ENSG00000114354	protein_coding	TFG	36.39	195	150
ENSG00000114383	protein_coding	TUSC2	59.39	804	438
ENSG00000114391	protein_coding	RPL24	42.34	4472	800
ENSG00000114503	protein_coding	NCBP2	44.02	175	135
ENSG00000114573	protein_coding	ATP6V1A	38.21	1334	551
ENSG00000114631	protein_coding	PODXL2	48.63	964	477
ENSG00000114646	protein_coding	CSPG5	51.25	624	367
ENSG00000114744	protein_coding	COMMD2	37.9	133	98
ENSG00000114757	protein_coding	PEX5L	38.14	207	121
ENSG00000114770	protein_coding	ABCC5	44.68	182	161
ENSG00000114784	protein_coding	EIF1B	41.69	1993	654
ENSG00000114857	protein_coding	NKTR	37.52	431	327
ENSG00000114867	protein_coding	EIF4G1	52.77	326	247
ENSG00000114902	protein_coding	SPCS1	47.35	1012	510
ENSG00000114923	protein_coding	SLC4A3	60.87	414	283
ENSG00000114942	protein_coding	EEF1B2	45.25	838	454
ENSG00000115053	protein_coding	NCL	47.89	458	332
ENSG00000115073	protein_coding	ACTR1B	58.52	610	363
ENSG00000115091	protein_coding	ACTR3	36.57	354	271
ENSG00000115128	protein_coding	SF3B6	43.05	489	336
ENSG00000115137	protein_coding	DNAJC27	40.71	237	177
ENSG00000115159	protein_coding	GPD2	37.9	197	161
ENSG00000115204	protein_coding	MPV17	50.33	351	278
ENSG00000115211	protein_coding	EIF2B4	50.64	140	115
ENSG00000115226	protein_coding	FNDC4	57.44	423	287
ENSG00000115233	protein_coding	PSMD14	35.34	204	175
ENSG00000115234	protein_coding	SNX17	53.1	309	229
ENSG00000115252	protein_coding	PDE1A	36.57	112	66
ENSG00000115266	protein_coding	APC2	63.5	241	193
ENSG00000115268	protein_coding	RPS15	62.7	3507	755
ENSG00000115286	protein_coding	NDUFS7	59.57	1548	615
ENSG00000115290	protein_coding	GRB14	37.01	660	123
ENSG00000115295	protein_coding	CLIP4	38.44	213	170
ENSG00000115306	protein_coding	SPTBN1	42.78	652	379
ENSG00000115310	protein_coding	RTN4	38.6	1456	614
ENSG00000115350	protein_coding	POLE4	38.69	317	250
ENSG00000115355	protein_coding	CCDC88A	36.44	506	355
ENSG00000115364	protein_coding	MRPL19	36.97	215	184
ENSG00000115365	protein_coding	LANCL1	38.12	360	257
ENSG00000115419	protein_coding	GLS	35.11	271	188
ENSG00000115446	protein_coding	UNC50	42.81	262	214
ENSG00000115461	protein_coding	IGFBP5	50.76	98	49
ENSG00000115464	protein_coding	USP34	38.8	360	252
ENSG00000115484	protein_coding	CCT4	40.97	290	220
ENSG00000115514	protein_coding	TXNDC9	42.12	298	220
ENSG00000115524	protein_coding	SF3B1	39.45	542	362
ENSG00000115539	protein_coding	PDCL3	46.62	380	274
ENSG00000115540	protein_coding	MOB4	40.5	329	242
ENSG00000115541	protein_coding	HSPE1	43.96	1560	603
ENSG00000115561	protein_coding	CHMP3	40.96	212	173
ENSG00000115661	protein_coding	STK16	53.12	377	275
ENSG00000115677	protein_coding	HDLBP	46.99	269	215
ENSG00000115685	protein_coding	PPP1R7	48.38	335	251
ENSG00000115694	protein_coding	STK25	59.3	424	297
ENSG00000115738	protein_coding	ID2	49.24	1302	432
ENSG00000115760	protein_coding	BIRC6	37.56	187	150
ENSG00000115762	protein_coding	PLEKHB2	42.42	587	369
ENSG00000115806	protein_coding	GORASP2	41.03	183	156
ENSG00000115839	protein_coding	RAB3GAP1	37.96	134	109
ENSG00000115840	protein_coding	SLC25A12	40.21	323	209
ENSG00000115875	protein_coding	SRSF7	41.45	372	289
ENSG00000115902	protein_coding	SLC1A4	45.52	87	65
ENSG00000115944	protein_coding	COX7A2L	44	1907	633
ENSG00000115966	protein_coding	ATF2	36.05	180	147
ENSG00000115977	protein_coding	AAK1	41.95	721	420
ENSG00000116001	protein_coding	TIA1	39.67	622	406
ENSG00000116005	protein_coding	PCYOX1	45.24	273	213
ENSG00000116030	protein_coding	SUMO1	41.66	1415	577
ENSG00000116120	protein_coding	FARSB	38.07	127	98
ENSG00000116128	protein_coding	BCL9	42.08	310	228
ENSG00000116133	protein_coding	DHCR24	47.67	256	164
ENSG00000116161	protein_coding	CACYBP	40.41	594	343
ENSG00000116171	protein_coding	SCP2	40	354	268
ENSG00000116199	protein_coding	FAM20B	43.17	171	137
ENSG00000116209	protein_coding	TMEM59	38.88	900	486
ENSG00000116251	protein_coding	RPL22	50.8	746	459
ENSG00000116254	protein_coding	CHD5	56.75	436	273
ENSG00000116288	protein_coding	PARK7	45.41	1444	585
ENSG00000116396	protein_coding	KCNC4	49.53	242	200
ENSG00000116459	protein_coding	ATP5PB	39.38	1541	606
ENSG00000116473	protein_coding	RAP1A	39.31	553	272
ENSG00000116521	protein_coding	SCAMP3	51.95	204	144
ENSG00000116539	protein_coding	ASH1L	41.38	423	305
ENSG00000116560	protein_coding	SFPQ	41.82	209	178
ENSG00000116580	protein_coding	GON4L	44.03	238	185
ENSG00000116584	protein_coding	ARHGEF2	50.95	178	145
ENSG00000116586	protein_coding	LAMTOR2	50.94	1269	546
ENSG00000116604	protein_coding	MEF2D	54.21	284	231
ENSG00000116649	protein_coding	SRM	59.85	234	194
ENSG00000116661	protein_coding	FBXO2	55.46	169	134
ENSG00000116667	protein_coding	C1orf21	40.27	269	211
ENSG00000116675	protein_coding	DNAJC6	40.01	431	306
ENSG00000116679	protein_coding	IVNS1ABP	37.25	189	156
ENSG00000116688	protein_coding	MFN2	51.12	247	193
ENSG00000116750	protein_coding	UCHL5	35	329	238
ENSG00000116752	protein_coding	BCAS2	40.33	734	417
ENSG00000116754	protein_coding	SRSF11	37.01	569	386
ENSG00000116774	protein_coding	OLFML3	45.3	94	52
ENSG00000116857	protein_coding	TMEM9	48.53	338	256
ENSG00000116871	protein_coding	MAP7D1	54.66	395	270
ENSG00000116898	protein_coding	MRPS15	49.26	347	253
ENSG00000116906	protein_coding	GNPAT	41.78	154	97
ENSG00000116918	protein_coding	TSNAX	37.77	351	254
ENSG00000116983	protein_coding	HPCAL4	52.5	359	259
ENSG00000117016	protein_coding	RIMS3	51.4	479	328
ENSG00000117069	protein_coding	ST6GALNAC5	39.92	208	94
ENSG00000117114	protein_coding	ADGRL2	36.78	108	65
ENSG00000117118	protein_coding	SDHB	43.51	1147	523
ENSG00000117139	protein_coding	KDM5B	41.09	164	140
ENSG00000117143	protein_coding	UAP1	39.68	148	131
ENSG00000117155	protein_coding	SSX2IP	37.23	191	147
ENSG00000117395	protein_coding	EBNA1BP2	44.38	234	187
ENSG00000117410	protein_coding	ATP6V0B	57.08	2764	787
ENSG00000117419	protein_coding	ERI3	47.73	475	344
ENSG00000117448	protein_coding	AKR1A1	49.1	1475	581
ENSG00000117450	protein_coding	PRDX1	47.46	384	229
ENSG00000117475	protein_coding	BLZF1	35.78	64	59
ENSG00000117500	protein_coding	TMED5	38	251	209
ENSG00000117505	protein_coding	DR1	36.44	34	32
ENSG00000117523	protein_coding	PRRC2C	38.3	490	319
ENSG00000117533	protein_coding	VAMP4	36.59	227	188
ENSG00000117598	protein_coding	PLPPR5	37.21	191	158
ENSG00000117600	protein_coding	PLPPR4	36.26	955	482
ENSG00000117602	protein_coding	RCAN3	42.26	116	85
ENSG00000117614	protein_coding	SYF2	43.02	309	244
ENSG00000117632	protein_coding	STMN1	48.24	1283	430
ENSG00000117691	protein_coding	NENF	47.62	1436	564
ENSG00000117707	protein_coding	PROX1	41.17	196	148
ENSG00000117713	protein_coding	ARID1A	46.19	281	231
ENSG00000117758	protein_coding	STX12	41.39	282	227
ENSG00000117906	protein_coding	RCN2	38.81	405	289
ENSG00000117984	protein_coding	CTSD	64.73	1394	388
ENSG00000118046	protein_coding	STK11	57.49	307	245
ENSG00000118058	protein_coding	KMT2A	41.25	389	286
ENSG00000118181	protein_coding	RPS25	47.62	3232	750
ENSG00000118200	protein_coding	CAMSAP2	37.69	193	154
ENSG00000118263	protein_coding	KLF7	41.5	252	196
ENSG00000118276	protein_coding	B4GALT6	39.13	460	277
ENSG00000118298	protein_coding	CA14	50.69	123	69
ENSG00000118363	protein_coding	SPCS2	39.26	1117	574
ENSG00000118402	protein_coding	ELOVL4	36.63	256	198
ENSG00000118432	protein_coding	CNR1	39.1	804	338
ENSG00000118473	protein_coding	SGIP1	37.74	690	409
ENSG00000118482	protein_coding	PHF3	36.07	206	178
ENSG00000118507	protein_coding	AKAP7	38.28	272	205
ENSG00000118518	protein_coding	RNF146	36.49	235	189
ENSG00000118579	protein_coding	MED28	44.87	1137	562
ENSG00000118600	protein_coding	RXYLT1	38.43	263	208
ENSG00000118705	protein_coding	RPN2	44.36	216	174
ENSG00000118733	protein_coding	OLFM3	35.12	59	28
ENSG00000118816	protein_coding	CCNI	39.07	235	187
ENSG00000118873	protein_coding	RAB3GAP2	37.8	120	100
ENSG00000118900	protein_coding	UBN1	47.92	296	216
ENSG00000118939	protein_coding	UCHL3	35.78	313	251
ENSG00000118946	protein_coding	PCDH17	33.32	484	233
ENSG00000118971	protein_coding	CCND2	49.13	349	233
ENSG00000119013	protein_coding	NDUFB3	41.49	1116	514
ENSG00000119048	protein_coding	UBE2B	41.25	942	500
ENSG00000119125	protein_coding	GDA	40.49	784	378
ENSG00000119138	protein_coding	KLF9	43.93	573	349
ENSG00000119185	protein_coding	ITGB1BP1	45.09	203	165
ENSG00000119231	protein_coding	SENP5	42.03	61	30
ENSG00000119318	protein_coding	RAD23B	38	315	228
ENSG00000119335	protein_coding	SET	49.47	642	389
ENSG00000119392	protein_coding	GLE1	45.27	232	199
ENSG00000119396	protein_coding	RAB14	39.61	1042	544
ENSG00000119401	protein_coding	TRIM32	43.3	427	289
ENSG00000119402	protein_coding	FBXW2	41.5	482	334
ENSG00000119421	protein_coding	NDUFA8	41.44	1793	632
ENSG00000119446	protein_coding	RBM18	40.58	246	184
ENSG00000119523	protein_coding	ALG2	42.61	416	270
ENSG00000119537	protein_coding	KDSR	42.04	94	70
ENSG00000119596	protein_coding	YLPM1	39.69	239	199
ENSG00000119640	protein_coding	ACYP1	41.68	343	272
ENSG00000119655	protein_coding	NPC2	43.65	693	360
ENSG00000119669	protein_coding	IRF2BPL	62.84	221	179
ENSG00000119682	protein_coding	AREL1	42.31	187	155
ENSG00000119705	protein_coding	SLIRP	41.29	580	379
ENSG00000119772	protein_coding	DNMT3A	53.43	212	174
ENSG00000119782	protein_coding	FKBP1B	48.23	371	218
ENSG00000119801	protein_coding	YPEL5	41.9	188	160
ENSG00000119820	protein_coding	YIPF4	41.21	233	200
ENSG00000119844	protein_coding	AFTPH	37.29	104	73
ENSG00000119865	protein_coding	CNRIP1	40.04	768	419
ENSG00000119866	protein_coding	BCL11A	44.77	600	362
ENSG00000119878	protein_coding	CRIPT	39.04	572	372
ENSG00000119900	protein_coding	OGFRL1	36.15	1464	548
ENSG00000119946	protein_coding	CNNM1	44.4	387	294
ENSG00000119950	protein_coding	MXI1	40.13	215	175
ENSG00000119979	protein_coding	DENND10	45.15	182	143
ENSG00000119986	protein_coding	AVPI1	48.89	323	238
ENSG00000120053	protein_coding	GOT1	42.9	696	382
ENSG00000120129	protein_coding	DUSP1	53.06	162	114
ENSG00000120137	protein_coding	PANK3	37.52	26	23
ENSG00000120159	protein_coding	CAAP1	37.23	44	41
ENSG00000120251	protein_coding	GRIA2	34.59	1860	607
ENSG00000120256	protein_coding	LRP11	44.17	360	246
ENSG00000120333	protein_coding	MRPS14	40.16	934	482
ENSG00000120438	protein_coding	TCP1	40.84	422	284
ENSG00000120509	protein_coding	PDZD11	49.29	252	203
ENSG00000120533	protein_coding	ENY2	37.11	308	227
ENSG00000120549	protein_coding	KIAA1217	40.56	451	276
ENSG00000120645	protein_coding	IQSEC3	52.3	136	107
ENSG00000120656	protein_coding	TAF12	47.17	156	115
ENSG00000120675	protein_coding	DNAJC15	38.12	310	252
ENSG00000120686	protein_coding	UFM1	33.9	235	199
ENSG00000120688	protein_coding	WBP4	38.67	541	339
ENSG00000120694	protein_coding	HSPH1	36.81	496	324
ENSG00000120696	protein_coding	KBTBD7	42.19	69	30
ENSG00000120705	protein_coding	ETF1	42.99	165	137
ENSG00000120709	protein_coding	FAM53C	48.45	121	87
ENSG00000120727	protein_coding	PAIP2	43.58	1270	544
ENSG00000120742	protein_coding	SERP1	38.84	286	227
ENSG00000120784	protein_coding	ZFP30	41.09	207	178
ENSG00000120805	protein_coding	ARL1	39.41	394	292
ENSG00000120833	protein_coding	SOCS2	47.34	215	145
ENSG00000120885	protein_coding	CLU	49.61	703	386
ENSG00000120913	protein_coding	PDLIM2	58.44	487	128
ENSG00000120948	protein_coding	TARDBP	43.58	271	222
ENSG00000120963	protein_coding	ZNF706	40.04	1657	653
ENSG00000121022	protein_coding	COPS5	39.82	265	220
ENSG00000121067	protein_coding	SPOP	40.42	866	488
ENSG00000121073	protein_coding	SLC35B1	47.79	295	235
ENSG00000121579	protein_coding	NAA50	37.41	178	154
ENSG00000121653	protein_coding	MAPK8IP1	58.04	548	362
ENSG00000121671	protein_coding	CRY2	49.13	233	183
ENSG00000121766	protein_coding	ZCCHC17	41.86	1214	532
ENSG00000121769	protein_coding	FABP3	50.58	746	406
ENSG00000121774	protein_coding	KHDRBS1	43.61	245	197
ENSG00000121851	protein_coding	POLR3GL	44.92	233	190
ENSG00000121897	protein_coding	LIAS	41.36	190	161
ENSG00000121905	protein_coding	HPCA	57.12	413	289
ENSG00000121964	protein_coding	GTDC1	36.87	56	27
ENSG00000122012	protein_coding	SV2C	41.39	489	281
ENSG00000122026	protein_coding	RPL21	41.95	4106	756
ENSG00000122034	protein_coding	GTF3A	44.69	189	154
ENSG00000122042	protein_coding	UBL3	36.4	599	396
ENSG00000122068	protein_coding	FYTTD1	42.18	222	182
ENSG00000122126	protein_coding	OCRL	39.83	212	158
ENSG00000122203	protein_coding	KIAA1191	46.88	383	302
ENSG00000122257	protein_coding	RBBP6	37.61	490	349
ENSG00000122390	protein_coding	NAA60	50.68	166	136
ENSG00000122406	protein_coding	RPL5	40.37	773	437
ENSG00000122435	protein_coding	TRMT13	35.8	132	104
ENSG00000122482	protein_coding	ZNF644	36.39	233	196
ENSG00000122515	protein_coding	ZMIZ2	56.51	217	176
ENSG00000122545	protein_coding	SEPTIN7	36.13	1245	528
ENSG00000122547	protein_coding	EEPD1	45.44	193	137
ENSG00000122566	protein_coding	HNRNPA2B1	41.73	803	470
ENSG00000122584	protein_coding	NXPH1	37.49	775	405
ENSG00000122585	protein_coding	NPY	43.41	57217	584
ENSG00000122643	protein_coding	NT5C3A	37.98	204	179
ENSG00000122696	protein_coding	SLC25A51	42.85	296	239
ENSG00000122705	protein_coding	CLTA	44.48	1114	539
ENSG00000122756	protein_coding	CNTFR	56.26	230	184
ENSG00000122873	protein_coding	CISD1	36.69	2353	706
ENSG00000122952	protein_coding	ZWINT	48.04	4101	651
ENSG00000122958	protein_coding	VPS26A	39.83	190	149
ENSG00000122966	protein_coding	CIT	43.74	1162	490
ENSG00000123066	protein_coding	MED13L	37.34	298	227
ENSG00000123091	protein_coding	RNF11	41.24	786	361
ENSG00000123119	protein_coding	NECAB1	37.01	246	180
ENSG00000123124	protein_coding	WWP1	37.52	185	131
ENSG00000123159	protein_coding	GIPC1	53.7	396	306
ENSG00000123179	protein_coding	EBPL	45.54	178	150
ENSG00000123297	protein_coding	TSFM	44.14	220	182
ENSG00000123349	protein_coding	PFDN5	47.28	2488	690
ENSG00000123384	protein_coding	LRP1	56.24	361	263
ENSG00000123395	protein_coding	ATG101	51.45	197	163
ENSG00000123416	protein_coding	TUBA1B	53.12	1298	526
ENSG00000123545	protein_coding	NDUFAF4	38.15	393	301
ENSG00000123560	protein_coding	PLP1	44.51	50467	205
ENSG00000123562	protein_coding	MORF4L2	39.39	895	477
ENSG00000123636	protein_coding	BAZ2B	36.16	97	68
ENSG00000123684	protein_coding	LPGAT1	38.29	453	296
ENSG00000123689	protein_coding	G0S2	57.61	145	80
ENSG00000123739	protein_coding	PLA2G12A	38.99	333	225
ENSG00000123901	protein_coding	GPR83	44.97	179	109
ENSG00000123933	protein_coding	MXD4	62.79	293	233
ENSG00000123983	protein_coding	ACSL3	39.46	178	135
ENSG00000124104	protein_coding	SNX21	52.48	399	280
ENSG00000124140	protein_coding	SLC12A5	53.29	656	387
ENSG00000124155	protein_coding	PIGT	45.91	289	225
ENSG00000124164	protein_coding	VAPB	42.86	372	276
ENSG00000124177	protein_coding	CHD6	41.09	403	288
ENSG00000124191	protein_coding	TOX2	47.56	232	180
ENSG00000124194	protein_coding	GDAP1L1	50.31	214	176
ENSG00000124222	protein_coding	STX16	41.01	422	312
ENSG00000124357	protein_coding	NAGK	49.56	269	219
ENSG00000124380	protein_coding	SNRNP27	40.47	811	461
ENSG00000124406	protein_coding	ATP8A1	38.15	271	205
ENSG00000124422	protein_coding	USP22	47.95	454	305
ENSG00000124507	protein_coding	PACSIN1	51.35	729	384
ENSG00000124614	protein_coding	RPS10	47.38	1304	559
ENSG00000124659	protein_coding	TBCC	54.36	201	165
ENSG00000124702	protein_coding	KLHDC3	52.39	276	224
ENSG00000124733	protein_coding	MEA1	54.79	672	387
ENSG00000124766	protein_coding	SOX4	52.52	179	141
ENSG00000124767	protein_coding	GLO1	39.8	310	236
ENSG00000124783	protein_coding	SSR1	43.56	320	234
ENSG00000124788	protein_coding	ATXN1	41.86	287	225
ENSG00000124795	protein_coding	DEK	39.15	226	181
ENSG00000124802	protein_coding	EEF1E1	39.63	399	250
ENSG00000124920	protein_coding	MYRF	59.94	129	80
ENSG00000125037	protein_coding	EMC3	44.9	257	200
ENSG00000125149	protein_coding	C16orf70	47.87	42	23
ENSG00000125166	protein_coding	GOT2	44.15	461	303
ENSG00000125249	protein_coding	RAP2A	36.13	162	129
ENSG00000125266	protein_coding	EFNB2	41.29	75	39
ENSG00000125351	protein_coding	UPF3B	42.87	328	220
ENSG00000125354	protein_coding	SEPTIN6	47.21	218	172
ENSG00000125356	protein_coding	NDUFA1	42.08	1644	613
ENSG00000125398	protein_coding	SOX9	53.36	17	11
ENSG00000125445	protein_coding	MRPS7	50.48	387	290
ENSG00000125447	protein_coding	GGA3	51.82	67	43
ENSG00000125458	protein_coding	NT5C	65.43	226	179
ENSG00000125505	protein_coding	MBOAT7	55.03	203	149
ENSG00000125534	protein_coding	PPDPF	70.87	573	374
ENSG00000125629	protein_coding	INSIG2	37.96	334	249
ENSG00000125648	protein_coding	SLC25A23	52.6	482	334
ENSG00000125656	protein_coding	CLPP	53.34	915	490
ENSG00000125675	protein_coding	GRIA3	39.27	416	231
ENSG00000125691	protein_coding	RPL23	44.18	4084	776
ENSG00000125743	protein_coding	SNRPD2	52.25	794	442
ENSG00000125744	protein_coding	RTN2	54.11	200	139
ENSG00000125746	protein_coding	EML2	52.69	435	288
ENSG00000125772	protein_coding	GPCPD1	39.23	295	232
